,code,name,mbrg,nprg,nav,targ,epsg,seg
0,600516,方大炭素,248.6204,13132.3664,68.4229,73.1959,5175.0,66.255
1,600282,南钢股份,55.5427,858.2508,128.9234,10.0106,779.7312,71.1629
2,300161,华中数控,21.2077,648.513,6.9532,5.0585,137.75,2.6328
3,300618,寒锐钴业,97.1561,575.0357,198.0205,170.5648,428.3784,198.0205
4,600507,方大特钢,56.2651,267.3815,76.6013,1.6444,284.0,83.8033
5,600190,锦州港,77.5198,205.7008,1.9762,27.3494,157.8211,2.065
6,600961,株冶集团,8.7629,181.2055,29.697,-1.3381,175.0,27.5084
7,600360,华微电子,17.1239,157.6431,4.6994,10.6901,116.6667,4.6724
8,600527,江南高纤,20.3012,154.7048,52.8821,48.9649,200.0,52.8821
9,300451,创业软件,110.1454,151.5189,173.92700000000002,138.19,125.8065,181.1423
10,600785,新华百货,5.485,126.6171,2.2366,2.3119,67.8571,3.6222
11,300740,御家汇,40.6107,117.8902,44.4849,23.4832,112.9032,45.5222
12,000838,财信发展,5.0925,105.0725,12.5397,62.4637,75.9644,9.2789
13,603225,新凤鸣,31.3915,102.7294,95.8531,28.1883,87.0504,111.0714
14,002245,澳洋顺昌,86.3157,100.2922,34.6296,29.6747,71.3744,29.2669
15,600058,五矿发展,44.9177,98.6855,48.2933,-14.3015,19.2593,50.6698
16,002258,利尔化学,55.5538,96.2491,21.3633,44.8619,92.5,17.0379
17,300320,海达股份,50.9385,69.8397,10.0549,35.4179,-6.0799,8.9925
18,603077,和邦生物,36.8253,57.1521,4.6305,1.4001,-33.3333,5.0768
19,002189,利达光电,10.743,53.0765,3.1425,6.1927,22.2222,3.3108
20,002741,光华科技,31.0046,45.0261,41.1073,58.53,37.5,40.0554
21,300193,佳士科技,14.3133,42.363,7.3887,6.1445,41.1879,7.2141
22,600722,金牛化工,15.6785,40.9711,-6.7333,-5.6342,32.8084,3.9637
23,000661,长春高新,41.5823,37.0343,16.8497,18.5042,26.2987,13.4877
24,300495,美尚生态,118.3777,36.019,11.177999999999999,42.8327,-53.4269,11.1832
25,603456,九洲药业,3.8873,31.7948,4.4392,4.7921,32.0,4.4919
26,600219,南山铝业,29.0295,27.9679,3.3897,7.8599,21.4286,3.3758
27,603707,健友股份,91.2186,22.1516,56.1121,76.9722,14.5211,56.1121
28,002837,英维克,51.8563,21.845,13.0687,37.0787,-64.1667,12.6908
29,002644,佛慈制药,37.9579,21.6106,5.3127,15.3733,21.6262,5.3127
30,300476,胜宏科技,34.3539,21.4363,86.3304,73.2322,16.129,86.3304
31,600816,安信信托,,20.9056,18.0295,31.3736,-53.0452,18.0295
32,603626,科森科技,66.1799,17.7388,189.956,130.8478,-35.0,189.956
33,002793,东音股份,29.9102,15.4329,7.9979,10.5837,-46.788999999999994,7.9979
34,600226,瀚叶股份,31.0234,13.8641,146.0899,61.7826,-45.4545,147.2411
35,600829,人民同泰,-11.0674,13.2227,-2.1695,0.6511,13.2231,-2.1695
36,300474,景嘉微,10.1581,12.8628,14.7659,22.5903,-6.382999999999999,14.7659
37,002382,蓝帆医疗,22.2828,12.0083,9.8673,15.7542,10.8108,9.7975
38,002459,天业通联,10.5804,10.2219,1.8738,6.6571,20.0,1.8738
39,600168,武汉控股,4.4084,7.5999,5.1194,21.4581,9.5238,5.1836
40,000888,峨眉山A,3.5914,5.0756,7.472,2.4239,2.8107,7.5309
41,300204,舒泰神,-1.0996,2.1474,15.1753,11.8236,1.8519,16.1502
42,300536,农尚环境,11.5012,1.9018,8.5317,24.930999999999997,-53.7313,8.5317
43,002714,牧原股份,79.1399,1.8791,124.9709,85.941,-5.7778,124.9709
44,603618,杭电股份,21.3323,-14.8765,-8.187000000000001,21.5121,-28.5714,-10.8703
45,603078,江化微,6.3734,-22.1413,95.8645,58.8633,-37.7089,95.8645
46,600353,旭光股份,8.4877,-23.9403,1.9715,9.297,-36.7041,1.3141
47,300644,南京聚隆,13.3304,-27.2905,6.8724,12.799000000000001,-29.8257,6.978
48,600675,中华企业,-46.0513,-41.676,7.4381,-8.4454,-44.1595,10.7794
49,600664,哈药股份,-14.9315,-44.9673,-9.8398,-8.9911,-50.0,-10.1994
50,300483,沃施股份,20.038,-54.0658,0.4086,15.4144,-62.5,0.2246
51,601313,江南嘉捷,-9.6277,-58.3276,-1.3815,-6.8498,-57.3807,0.3091
52,000737,*ST南风,-12.2957,-2489.8978,-307.0845,-6.4379,-2106.2827,-247.6034
53,600077,宋都股份,-64.5888,,4.8074,85.5961,-180.0,4.34
54,600678,四川金顶,108.1136,,665.2847,26.6868,-202.225,954.2056
55,000410,*ST沈机,-32.9056,,23.9062,-13.661,-108.1967,31.3327
56,600733,SST前锋,612.1344,,2.1214,3.6225,-123.0769,4.1777
57,600301,ST南化,198.5085,,-20.7,-21.8358,-639.4531,-8.3751
58,000932,*ST华菱,53.602,,56.8382,5.6153,-490.5402,65.8524
59,600423,*ST柳化,-11.8634,,,-13.3948,-107.3529,-257.6341
60,600077,宋都股份,-64.5888,,4.8074,85.5961,-180.0,4.34
61,600678,四川金顶,108.1136,,665.2847,26.6868,-202.225,954.2056
62,000410,*ST沈机,-32.9056,,23.9062,-13.661,-108.1967,31.3327
