,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002382,蓝帆医疗,0.41,10.81,,14.87,,20086.43,10.93,10派2,02-14
1,600058,五矿发展,0.03,19.26,,0.69,,3451.21,19.19,,02-14
2,600675,中华企业,0.2,-44.16,,10.68,,36677.23,-44.04,,02-14
3,600226,瀚叶股份,0.12,-45.45,,7.39,,26122.28,10.87,10转3,02-14
4,600785,新华百货,0.47,67.86,,5.37,,10695.48,69.88,,02-14
5,600556,ST慧球,0.01,-114.29,,4.0,,316.9,-112.02,,02-14
6,600190,锦州港,0.07,157.82,,2.4,,14309.91,157.82,10派0.22,02-14
7,600353,旭光股份,0.05,-36.7,,2.58,,2757.71,-36.71,10派0.16,02-14
8,603456,九洲药业,0.33,32.0,,5.65,,14760.53,32.4,10派2转8,02-14
9,600168,武汉控股,0.46,9.52,,7.0,,32794.86,9.07,10派1.39,02-14
10,600678,四川金顶,0.08,-202.22,,168.91,,2885.8,-202.16,,02-14
11,000838,财信发展,0.18,75.96,,11.22,,19579.02,75.9,10派0.36,02-13
12,603077,和邦生物,0.06,-33.33,,4.83,,51753.99,62.85,10派0.2,02-13
13,603626,科森科技,0.78,-35.0,,15.18,,22240.38,17.74,,02-13
14,000737,*ST南风,-0.77,-2106.28,,,,-42058.17,-2108.29,,02-13
15,300204,舒泰神,0.55,1.85,,12.87,,26302.68,2.24,10派2.5,02-13
16,002245,澳洋顺昌,0.36,71.37,,16.27,,35441.81,72.36,10派0.4,02-13
17,002644,佛慈制药,0.15,21.63,,5.58,,7409.28,21.61,10派0.13,02-13
18,000932,*ST华菱,1.37,-490.54,,49.69,,412091.95,-490.55,,02-13
19,600516,方大炭素,2.11,5175.0,,46.62,,362041.86,5267.65,10派19,02-13
20,002459,天业通联,0.06,20.0,,1.78,,2216.8,10.22,,02-13
21,300618,寒锐钴业,3.91,428.38,,52.67,,44940.48,575.04,,02-13
22,600282,南钢股份,0.79,779.73,,36.8,,320034.94,804.73,10派0.5,02-13
23,300495,美尚生态,0.48,-53.43,,10.38,,28411.7,35.95,,02-12
24,300161,华中数控,0.19,137.75,,2.91,,3287.0,146.8,10派0.2,02-12
25,603225,新凤鸣,2.6,87.05,,29.04,,149659.49,104.57,10派2.6转4,02-12
26,603078,江化微,0.95,-37.71,,9.09,,5367.79,-22.14,,02-10
27,600423,*ST柳化,0.15,-107.35,,982.14,,6155.15,-107.54,,02-10
28,600664,哈药股份,0.16,-50.0,,5.6,,40697.59,-48.36,10派5,02-10
29,600219,南山铝业,0.17,21.43,,5.01,,161135.51,22.75,10派0.6,02-10
30,600360,华微电子,0.13,116.67,,4.59,,9485.38,133.52,10派0.2,02-10
31,002714,牧原股份,2.12,-5.78,,28.12,,236552.94,1.88,,02-10
32,600722,金牛化工,0.05,32.81,,3.83,,3443.55,32.87,,02-10
33,300193,佳士科技,0.29,41.19,,6.54,,14377.09,42.34,10派0.5,02-10
34,600301,ST南化,-0.14,-639.45,,-12.85,,-3247.99,-640.05,,02-10
35,600077,宋都股份,0.12,-180.0,,4.25,,15567.56,-178.04,10派0.15,02-10
36,000888,峨眉山A,0.37,2.81,,9.27,,19660.58,2.83,10派1,02-10
37,600507,方大特钢,1.92,284.0,,67.67,,253952.66,281.4,10派16,02-09
38,000661,长春高新,3.89,26.3,,15.99,,66194.88,36.53,10派8,02-09
39,300476,胜宏科技,0.72,16.13,,14.67,,28181.86,21.44,,02-09
40,600733,SST前锋,0.04,-123.08,,4.09,,772.2,-123.12,10送4转20,02-08
41,600527,江南高纤,0.09,200.0,,4.09,,7005.57,155.22,10派1.5转5,02-08
42,600816,安信信托,0.8,-53.05,,25.23,,366821.23,20.91,10派5转2,02-08
43,600961,株冶集团,0.11,175.0,,30.36,,5544.96,168.01,,02-07
44,300474,景嘉微,0.44,-6.38,,12.47,,11882.94,12.86,,02-07
45,002741,光华科技,0.25,37.5,,9.97,,9261.95,46.59,,02-06
46,300483,沃施股份,0.09,-62.5,,1.33,,581.44,-60.62,,02-06
47,002837,英维克,0.43,-64.17,,13.5,,8560.67,19.22,,02-06
48,300451,创业软件,0.7,125.81,,8.74,,16324.42,159.1,10派1转10,02-06
49,601313,江南嘉捷,0.17,-57.38,,4.05,,6811.74,-57.28,,02-02
50,002258,利尔化学,0.77,92.5,,18.11,,40196.73,92.93,,02-01
51,000613,*ST东海A,0.01,-208.22,,3.78,,285.9,-207.44,,02-01
52,002189,利达光电,0.11,22.22,,3.99,,2175.51,25.59,10派0.25,01-31
53,600696,ST匹凸,0.05,-103.7,,6.76,,1803.47,-103.92,,01-31
54,000410,*ST沈机,0.15,-108.2,,16.41,,11775.16,-108.39,,01-31
55,002793,东音股份,0.58,-46.79,,16.17,,11585.17,15.43,,01-30
56,300320,海达股份,0.27,-6.08,,15.91,,14028.01,69.05,,01-30
57,600829,人民同泰,0.44,13.22,,16.32,,25419.6,13.22,10派5,01-30
58,603707,健友股份,0.81,14.52,,19.07,,31422.24,22.15,,01-27
59,300644,南京聚隆,1.18,-29.83,8.83,13.85,0.08,5643.31,-28.26,,01-24
60,603618,杭电股份,0.15,-28.57,,4.65,,10034.2,-26.2,,01-23
61,300740,御家汇,1.32,112.9,4.5,34.43,1.45,15849.42,114.85,,01-22
62,300536,农尚环境,0.31,-53.73,,10.21,,5189.04,1.9,10派0.7,01-19
